Akkermansiaceae [Family],Prevotellaceae [Family],Bacteroidaceae [Family],Muribaculaceae [Family],Marinifilaceae [Family],Tannerellaceae [Family],Rikenellaceae [Family],Desulfovibrionaceae [Family],Deferribacteraceae [Family],Enterobacteriaceae [Family],Butyricicoccaceae [Family],Peptococcaceae [Family],Ruminococcaceae [Family],Acholeplasmataceae [Family],Anaerovoracaceae [Family],Eggerthellaceae [Family],Lachnospiraceae [Family],Bifidobacteriaceae [Family],Sutterellaceae [Family],Monoglobaceae [Family],Oscillospiraceae [Family],Lactobacillaceae [Family],Enterococcaceae [Family],Clostridiaceae [Family],Erysipelotrichaceae [Family],Erysipelatoclostridiaceae [Family]
0,13.57911193,22.55790246,147.0213312,1.508398188,2.720605156,20.99826557,4.218440892,0.966073898,0,3.627396364,2.438545955,12.51573614,0,2.938979685,1.243705634,175.8719323,0,1.754531258,0,42.32598145,22.05603527,0,0,2.381927061,0
1.439102026,10.37399822,15.6294707,134.7170381,2.0181359,1.608966246,13.94579762,6.563817724,1.901725548,0,5.506354643,1.76995627,20.58553858,0,1.215061961,2.71484799,185.657499,0,1.681663663,1.062624455,46.85693284,24.27553688,0,0,3.545451625,0
0,9.888477808,11.40286106,96.53552612,0,0.640154946,8.53555268,6.839050671,2.85738019,0,2.319797117,0,18.72513854,0,4.330326849,5.771357689,198.9451804,0,2.586065095,1.075473017,29.36251195,39.17214452,0,0.43948425,4.092893821,0
0,8.010778693,12.45928354,85.42668787,0.098439638,0.198523097,8.028416238,6.727047153,2.486719452,0,4.695302945,0.521296489,15.64699978,0,1.987650783,2.549441008,264.8074875,0,1.197051927,0.521296489,44.36796966,3.888179621,0,0.198523097,0.372876484,0
0,8.456034999,13.5900391,76.23521287,1.996058832,0.129398054,15.8448585,4.39981219,2.597497586,0,4.982829047,2.724652761,15.00626023,0,1.353173486,0.976695915,273.1150101,0,1.996058832,0,46.13036335,16.71132563,0,0.465870291,0,0
0,13.25331642,24.12466686,145.1187057,2.299028998,3.117511096,24.6969479,3.29927879,1.869466338,0,2.688493765,0,4.647551322,0,1.291388487,3.162973471,137.9081869,0,2.867145435,1.200416709,22.31788335,36.53549226,0,0.863944473,4.537291641,0
0,10.42265598,17.6092643,127.6285134,2.741367639,0,21.86722039,2.476086504,1.540625856,0,3.36932884,0,6.243504862,0,1.402475517,2.921361386,170.9618907,0,1.325514476,0.671588009,20.71580821,37.71160111,0,1.770200297,2.902429197,0
0,8.865582567,18.39078953,112.3279176,2.317025144,1.514295979,17.63604474,6.758011368,2.730212298,0,2.560779202,1.012560801,10.09528556,1.012560801,2.495635306,1.941739994,216.4080635,0,1.464545925,1.691319244,30.7245632,30.45699511,0,0,2.05233259,0
0,8.484616673,13.81945957,92.94671974,1.302742735,0.885007535,9.330312845,6.128568769,2.809526494,0,4.821956518,0.154120026,12.71420404,0,3.308989305,3.492438673,268.5246121,0,1.023157873,1.023157873,37.68205901,24.46438547,0,0,2.334102797,0
0,7.840260381,12.51978234,89.72365813,1.211805716,0.960491288,12.61478046,4.556476714,1.37543514,0,5.322588038,0.839130431,11.20194934,0,0.81417352,2.919511406,252.3014732,0,0.349582206,0.960491288,38.2025697,29.37809606,0,0,2.614629379,0
